,210930_s_at,216836_s_at,207112_s_at,214987_at,201983_s_at,201984_s_at,210984_x_at,211550_at,211551_at,211607_x_at,207326_at,209953_s_at,212983_at,202789_at,216551_x_at,206237_s_at,206343_s_at,208230_s_at,208231_at,208232_x_at,208241_at,204009_s_at,204010_s_at,214352_s_at,212777_at,212780_at,205767_at,206254_at,206794_at,214053_at,203821_at,222076_at,38037_at,201469_s_at,214853_s_at,202454_s_at,215638_at,202006_at,216884_at,216915_s_at,206879_s_at,208062_s_at,202647_s_at,215075_s_at,210211_s_at,211968_s_at,211969_at,214328_s_at,204369_at,212239_at,212240_s_at,212249_at,217941_s_at
214352_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,
212777_at,,,,,,,,,,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,,,,,,2.0,2.0,2.0,2.0,
212780_at,,,,,,,,,,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,,,,,,2.0,2.0,2.0,2.0,
205767_at,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,,
206254_at,,,2.0,2.0,,,,,,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,1.0,2.0,,,,,2.0,2.0,2.0,2.0,
206794_at,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
214053_at,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
203821_at,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,,
222076_at,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,,
38037_at,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,,
201469_s_at,,,2.0,2.0,,,,,,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,2.0,2.0,2.0,2.0,
214853_s_at,,,2.0,2.0,,,,,,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,2.0,2.0,2.0,2.0,
202454_s_at,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,
215638_at,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,
202006_at,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
216884_at,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
216915_s_at,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
206879_s_at,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,
208062_s_at,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,
202647_s_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,
215075_s_at,,,2.0,2.0,,,,,,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,,,,,,2.0,2.0,2.0,2.0,
210211_s_at,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0
211968_s_at,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0
211969_at,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0
214328_s_at,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0
204369_at,,,,,,,,,,,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,2.0,2.0,,,,,,,,,,,
212239_at,,,,,,,,,,,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,2.0,2.0,,,,,,,2.0,,,,
212240_s_at,,,,,,,,,,,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,2.0,2.0,,,,,,,2.0,,,,
212249_at,,,,,,,,,,,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,2.0,2.0,,,,,,,2.0,,,,
217941_s_at,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
