,206804_at,213539_at,209728_at,215666_at,207238_s_at,212587_s_at,212588_at,201137_s_at,202329_at,205456_at,215536_at,209312_x_at,209480_at,209823_x_at,210747_at,211654_x_at,211656_x_at,212998_x_at,212999_x_at,215193_x_at,221491_x_at,210173_at,214137_at,208894_at,210982_s_at,203290_at,212671_s_at,213831_at,203547_at,216424_at,204670_x_at,208306_x_at,210031_at,204890_s_at,204891_s_at,211990_at,211991_s_at,213537_at,206060_s_at,208010_s_at,208011_at
203547_at,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
216424_at,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
204670_x_at,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,
208306_x_at,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,
210031_at,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204890_s_at,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,
204891_s_at,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,
211990_at,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,,,,,
211991_s_at,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,,,,,
213537_at,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,,,,,
206060_s_at,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
208010_s_at,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
208011_at,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
